,,,,,,,,,,,Vegas,,,
Rk,Team,Date,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result
4703,JAX,12/24/05,38,65,Sat,15,16,@,HOU,W 38-20,-6,covered,38,over
4704,JAX,12/18/05,39.5,49,Sun,14,15,,SFO,W 10-9,-14.5,did not cover,39.5,under
4705,JAX,12/11/05,43,55,Sun,13,14,,IND,L 18-26,7.5,did not cover,43,over
4706,JAX,12/4/05,36.5,28,Sun,12,13,@,CLE,W 20-14,-3,covered,36.5,under
4707,JAX,11/27/05,41.5,58,Sun,11,12,@,ARI,W 24-17,-3.5,covered,41.5,under
4708,JAX,11/20/05,38,56,Sun,10,11,@,TEN,W 31-28,-4,did not cover,38,over
4709,JAX,11/13/05,34,75,Sun,9,10,,BAL,W 30-3,-8,covered,34,under
4710,JAX,11/6/05,37.5,79,Sun,8,9,,HOU,W 21-14,-11,did not cover,37.5,under
4711,JAX,10/16/05,36,56,Sun,6,6,@,PIT,W 23-17 (OT),5,covered,36,over
4712,JAX,10/9/05,38,80,Sun,5,5,,CIN,W 23-20,-3,push,38,over
4713,JAX,10/2/05,37.5,82,Sun,4,4,,DEN,L 7-20,-4,did not cover,37.5,under
4714,JAX,9/25/05,34.5,69,Sun,3,3,@,NYJ,W 26-20 (OT),2.5,covered,34.5,over
4715,JAX,9/11/05,40,82,Sun,1,1,,SEA,W 26-14,-3,covered,40,push
4716,JAX,1/2/05,43,48,Sun,16,17,@,OAK,W 13-6,-2.5,covered,43,under
4717,JAX,12/26/04,36.5,40,Sun,15,16,,HOU,L 0-21,-6.5,did not cover,36.5,under
4718,JAX,12/19/04,37,12,Sun,14,15,@,GNB,W 28-25,3.5,covered,37,over
4719,JAX,12/12/04,34,53,Sun,13,14,,CHI,W 22-3,-7,covered,34,under
4720,JAX,12/5/04,35.5,56,Sun,12,13,,PIT,L 16-17,3,covered,35.5,under
4721,JAX,11/21/04,36,80,Sun,10,11,,TEN,L 15-18,-3,did not cover,36,under
4722,JAX,11/14/04,34.5,60,Sun,9,10,,DET,W 23-17 (OT),-3.5,covered,34.5,over
4723,JAX,10/31/04,42,85,Sun,8,8,@,HOU,L 6-20,2,did not cover,42,under
4724,JAX,10/17/04,44,78,Sun,6,6,,KAN,W 22-16,2.5,covered,44,under
4725,JAX,10/10/04,37,68,Sun,5,5,@,SDG,L 21-34,-2.5,did not cover,37,over
4726,JAX,10/3/04,42,85,Sun,4,4,,IND,L 17-24,4,did not cover,42,under
4727,JAX,9/26/04,34.5,76,Sun,3,3,@,TEN,W 15-12,6,covered,34.5,under
4728,JAX,9/19/04,38,78,Sun,2,2,,DEN,W 7-6,3,covered,38,under
4729,JAX,9/12/04,35,74,Sun,1,1,@,BUF,W 13-10,3,covered,35,under
4730,JAX,12/21/03,42,52,Sun,15,16,,NOR,W 20-19,-3,did not cover,42,under
4731,JAX,12/14/03,33,25,Sun,14,15,@,NWE,L 13-27,6,did not cover,33,over
4732,JAX,12/7/03,37.5,56,Sun,13,14,,HOU,W 27-0,-9.5,covered,37.5,under
4733,JAX,11/30/03,37,46,Sun,12,13,,TAM,W 17-10,3,covered,37,under
4734,JAX,11/23/03,43,53,Sun,11,12,@,NYJ,L 10-13,4,covered,43,under
4735,JAX,11/16/03,44.5,60,Sun,10,11,@,TEN,L 3-10,9,covered,44.5,under
4736,JAX,11/9/03,44,62,Sun,9,10,,IND,W 28-23,6,covered,44,over
4737,JAX,11/2/03,37.5,71,Sun,8,9,@,BAL,L 17-24,7,push,37.5,over
4738,JAX,10/26/03,43.5,80,Sun,7,8,,TEN,L 17-30,4.5,did not cover,43.5,over
4739,JAX,10/12/03,38,75,Sun,6,6,,MIA,L 10-24,3.5,did not cover,38,under
4740,JAX,10/5/03,42.5,84,Sun,5,5,,SDG,W 27-21,-3,covered,42.5,over
4741,JAX,9/28/03,37.5,79,Sun,4,4,@,HOU,L 20-24,-2.5,did not cover,37.5,over
4742,JAX,9/14/03,42,86,Sun,2,2,,BUF,L 17-38,3,did not cover,42,over
4743,JAX,9/7/03,34.5,72,Sun,1,1,@,CAR,L 23-24,4,covered,34.5,over
4744,JAX,12/22/02,41.5,64,Sun,15,16,,TEN,L 10-28,3,did not cover,41.5,under
4745,JAX,12/15/02,45,42,Sun,14,15,@,CIN,W 29-15,-3,covered,45,under
4746,JAX,12/8/02,41.5,63,Sun,13,14,,CLE,L 20-21,-2.5,did not cover,41.5,under
4747,JAX,12/1/02,44,53,Sun,12,13,,PIT,L 23-25,3,covered,44,over
4748,JAX,11/24/02,34,63,Sun,11,12,@,DAL,L 19-21,-2.5,did not cover,34,over
4749,JAX,11/17/02,36.5,66,Sun,10,11,@,HOU,W 24-21,-6.5,did not cover,36.5,over
4750,JAX,11/10/02,39.5,82,Sun,9,10,,WAS,W 26-7,-1.5,covered,39.5,under
4751,JAX,11/3/02,35.5,43,Sun,8,9,@,NYG,L 17-24,3,did not cover,35.5,over
4752,JAX,10/27/02,38,78,Sun,7,8,,HOU,L 19-21,-11,did not cover,38,over
4753,JAX,10/20/02,38,56,Sun,6,7,@,BAL,L 10-17,-1.5,did not cover,38,under
4754,JAX,10/13/02,44,65,Sun,5,6,@,TEN,L 14-23,-1.5,did not cover,44,under
4755,JAX,10/6/02,42.5,87,Sun,4,5,,PHI,W 28-25,3,covered,42.5,over
4756,JAX,9/29/02,41.5,87,Sun,3,4,,NYJ,W 28-3,-3.5,covered,41.5,under
4757,JAX,9/15/02,46,66,Sun,2,2,@,KAN,W 23-16,3.5,covered,46,under
4758,JAX,9/8/02,44,85,Sun,1,1,,IND,L 25-28,3.5,covered,44,over
4759,JAX,1/6/02,33.5,37,Sun,16,17,@,CHI,L 13-33,6,did not cover,33.5,over
4760,JAX,12/30/01,40,53,Sun,15,16,,KAN,L 26-30,-4.5,did not cover,40,over
4761,JAX,12/16/01,36.5,44,Sun,13,14,@,CLE,W 15-10,2,covered,36.5,under
4762,JAX,12/9/01,36.5,42,Sun,12,13,@,CIN,W 14-10,1,covered,36.5,under
4763,JAX,12/3/01,43,56,Mon,11,12,,GNB,L 21-28,3,did not cover,43,over
4764,JAX,11/25/01,34,79,Sun,10,11,,BAL,L 21-24,3,push,34,over
4765,JAX,11/18/01,36,57,Sun,9,10,@,PIT,L 7-20,5.5,did not cover,36,under
4766,JAX,11/11/01,39.5,73,Sun,8,9,,CIN,W 30-13,-4,covered,39.5,over
4767,JAX,11/4/01,37.5,67,Sun,7,8,@,TEN,L 24-28,3,did not cover,37.5,over
4768,JAX,10/28/01,33,50,Sun,6,7,@,BAL,L 17-18,7.5,covered,33,over
4769,JAX,10/18/01,38.5,66,Thu,5,6,,BUF,L 10-13,-9,did not cover,38.5,under
4770,JAX,10/7/01,35,50,Sun,4,4,@,SEA,L 15-24,-3.5,did not cover,35,over
4771,JAX,9/30/01,35.5,72,Sun,3,3,,CLE,L 14-23,-8.5,did not cover,35.5,over
4772,JAX,9/23/01,36,84,Sun,2,2,,TEN,W 13-6,-2,covered,36,under
4773,JAX,9/9/01,37.5,83,Sun,1,1,,PIT,W 21-3,-3,covered,37.5,under
4774,JAX,12/23/00,37.5,23,Sat,16,17,@,NYG,L 25-28,4,covered,37.5,over
4775,JAX,12/17/00,42.5,9,Sun,15,16,@,CIN,L 14-17,-10.5,did not cover,42.5,under
4776,JAX,12/10/00,42,61,Sun,14,15,,ARI,W 44-10,-15,covered,42,over
4777,JAX,12/3/00,39,46,Sun,13,14,,CLE,W 48-0,-14.5,covered,39,over
4778,JAX,11/26/00,41.5,62,Sun,12,13,,TEN,W 16-13,3,covered,41.5,under
4779,JAX,11/19/00,37,35,Sun,11,12,@,PIT,W 34-24,3,covered,37,over
4780,JAX,11/12/00,40.5,69,Sun,10,11,,SEA,L 21-28,-7.5,did not cover,40.5,over
4781,JAX,10/29/00,44.5,72,Sun,9,9,@,DAL,W 23-17 (OT),4,covered,44.5,under
4782,JAX,10/22/00,36,79,Sun,8,8,,WAS,L 16-35,4,did not cover,36,over
4783,JAX,10/16/00,38,74,Mon,7,7,@,TEN,L 13-27,6,did not cover,38,over
4784,JAX,10/8/00,37.5,62,Sun,6,6,,BAL,L 10-15,-2.5,did not cover,37.5,under
4785,JAX,10/1/00,38.5,76,Sun,5,5,,PIT,L 13-24,-11,did not cover,38.5,under
4786,JAX,9/17/00,41,71,Sun,3,3,,CIN,W 13-0,-13,push,41,under
4787,JAX,9/10/00,36.5,82,Sun,2,2,@,BAL,L 36-39,3,push,36.5,over
4788,JAX,9/3/00,38.5,78,Sun,1,1,@,CLE,W 27-7,-10.5,covered,38.5,under
4789,KAN,11/10/24,42,57,Sun,9,10,,DEN,W 16-14,-7.5,did not cover,42,under
4790,KAN,11/4/24,45.5,63,Mon,8,9,,TAM,W 30-24 (OT),-9,did not cover,45.5,over
4791,KAN,10/27/24,41.5,80,Sun,7,8,@,LVR,W 27-20,-10,did not cover,41.5,over
4792,KAN,10/20/24,47,78,Sun,6,7,@,SFO,W 28-18,1.5,covered,47,under
4793,KAN,10/7/24,43,70,Mon,5,5,,NOR,W 26-13,-5.5,covered,43,under
4794,KAN,9/29/24,41,68,Sun,4,4,@,LAC,W 17-10,-7,push,41,under
4795,KAN,9/22/24,46.5,89,Sun,3,3,@,ATL,W 22-17,-3,covered,46.5,under
4796,KAN,9/15/24,48,89,Sun,2,2,,CIN,W 26-25,-6,did not cover,48,over
4797,KAN,9/5/24,47,67,Thu,1,1,,BAL,W 27-20,-3,covered,47,push
4798,KAN,1/7/24,35.5,57,Sun,17,18,@,LAC,W 13-12,3.5,covered,35.5,under
4799,KAN,12/31/23,44,36,Sun,16,17,,CIN,W 25-17,-6.5,covered,44,under
4800,KAN,12/25/23,40.5,38,Mon,15,16,,LVR,L 14-20,-10.5,did not cover,40.5,under
4801,KAN,12/17/23,37,53,Sun,14,15,@,NWE,W 27-17,-8.5,covered,37,over
4802,KAN,12/10/23,48.5,45,Sun,13,14,,BUF,L 17-20,-1.5,did not cover,48.5,under
4803,KAN,12/3/23,42.5,31,Sun,12,13,@,GNB,L 19-27,-5.5,did not cover,42.5,over
4804,KAN,11/26/23,43,55,Sun,11,12,@,LVR,W 31-17,-10,covered,43,over
4805,KAN,11/20/23,46,45,Mon,10,11,,PHI,L 17-21,-2.5,did not cover,46,under
4806,KAN,11/5/23,51.5,53,Sun,9,9,,MIA,W 21-14,-1.5,covered,51.5,under
4807,KAN,10/29/23,45.5,26,Sun,8,8,@,DEN,L 9-24,-7,did not cover,45.5,under
4808,KAN,10/22/23,48.5,72,Sun,7,7,,LAC,W 31-17,-5.5,covered,48.5,under
4809,KAN,10/8/23,52.5,58,Sun,5,5,@,MIN,W 27-20,-3.5,covered,52.5,under
4810,KAN,10/1/23,41.5,69,Sun,4,4,@,NYJ,W 23-20,-9.5,did not cover,41.5,over
4811,KAN,9/17/23,51,87,Sun,2,2,@,JAX,W 17-9,-3.5,covered,51,under
4812,KAN,1/7/23,52.5,55,Sat,17,18,@,LVR,W 31-13,-9,covered,52.5,under
4813,KAN,1/1/23,45,47,Sun,16,17,,DEN,W 27-24,-12.5,did not cover,45,over
4814,KAN,12/24/22,49.5,12,Sat,15,16,,SEA,W 24-10,-10,covered,49.5,under
4815,KAN,12/18/22,48.5,50,Sun,14,15,@,HOU,W 30-24 (OT),-14.5,did not cover,48.5,over
4816,KAN,12/11/22,44,55,Sun,13,14,@,DEN,W 34-28,-8.5,did not cover,44,over
4817,KAN,12/4/22,53,57,Sun,12,13,@,CIN,L 24-27,-2.5,did not cover,53,under
4818,KAN,11/27/22,42,44,Sun,11,12,,LAR,W 26-10,-15.5,covered,42,under
4819,KAN,11/20/22,52.5,69,Sun,10,11,@,LAC,W 30-27,-5,did not cover,52.5,over
4820,KAN,11/13/22,51,33,Sun,9,10,,JAX,W 27-17,-9,covered,51,under
4821,KAN,11/6/22,45.5,54,Sun,8,9,,TEN,W 20-17 (OT),-12.5,did not cover,45.5,under
4822,KAN,10/23/22,49,64,Sun,7,7,@,SFO,W 44-23,-1,covered,49,over
4823,KAN,10/10/22,51.5,77,Mon,5,5,,LVR,W 30-29,-7,did not cover,51.5,over
4824,KAN,10/2/22,46,75,Sun,4,4,@,TAM,W 41-31,1,covered,46,over
4825,KAN,9/25/22,51,65,Sun,3,3,@,IND,L 17-20,-5.5,did not cover,51,under
4826,KAN,9/11/22,54,0,Sun,1,1,@,ARI,W 44-21,-6.5,covered,54,over
4827,KAN,1/8/22,45,41,Sat,17,18,@,DEN,W 28-24,-11,did not cover,45,over
4828,KAN,1/2/22,51.5,33,Sun,16,17,@,CIN,L 31-34,-4,did not cover,51.5,over
4829,KAN,12/26/21,46.5,60,Sun,15,16,,PIT,W 36-10,-12.5,covered,46.5,under
4830,KAN,12/16/21,52.5,54,Thu,14,15,@,LAC,W 34-28 (OT),-3,covered,52.5,over
4831,KAN,12/12/21,48,47,Sun,13,14,,LVR,W 48-9,-10,covered,48,over
4832,KAN,12/5/21,47,58,Sun,12,13,,DEN,W 22-9,-9.5,covered,47,under
4833,KAN,11/21/21,56.5,57,Sun,11,11,,DAL,W 19-9,-2.5,covered,56.5,under
4834,KAN,11/14/21,52,73,Sun,10,10,@,LVR,W 41-14,-2.5,covered,52,over
4835,KAN,11/7/21,48,51,Sun,9,9,,GNB,W 13-7,-7.5,did not cover,48,under
4836,KAN,11/1/21,52,39,Mon,8,8,,NYG,W 20-17,-10,did not cover,52,under
4837,KAN,10/24/21,57.5,74,Sun,7,7,@,TEN,L 3-27,-4,did not cover,57.5,under
4838,KAN,10/17/21,54,62,Sun,6,6,@,WAS,W 31-13,-7,covered,54,under
4839,KAN,10/10/21,56.5,76,Sun,5,5,,BUF,L 20-38,-2.5,did not cover,56.5,over
4840,KAN,10/3/21,54.5,73,Sun,4,4,@,PHI,W 42-30,-7,covered,54.5,over
4841,KAN,9/26/21,54.5,81,Sun,3,3,,LAC,L 24-30,-7,did not cover,54.5,under
4842,KAN,9/19/21,54.5,82,Sun,2,2,@,BAL,L 35-36,-4,did not cover,54.5,over
4843,KAN,9/12/21,54.5,88,Sun,1,1,,CLE,W 33-29,-5.5,did not cover,54.5,over
4844,KAN,1/3/21,43,35,Sun,16,17,,LAC,L 21-38,7,did not cover,43,over
4845,KAN,12/27/20,54,49,Sun,15,16,,ATL,W 17-14,-11,did not cover,54,under
4846,KAN,12/20/20,54,60,Sun,14,15,@,NOR,W 32-29,-2.5,covered,54,over
4847,KAN,12/13/20,52,81,Sun,13,14,@,MIA,W 33-27,-7.5,did not cover,52,over
4848,KAN,12/6/20,51.5,41,Sun,12,13,,DEN,W 22-16,-13,did not cover,51.5,under
4849,KAN,11/29/20,56,81,Sun,11,12,@,TAM,W 27-24,-3.5,did not cover,56,under
4850,KAN,11/22/20,56.5,66,Sun,10,11,@,LVR,W 35-31,-7.5,did not cover,56.5,over
4851,KAN,11/8/20,51.5,71,Sun,9,9,,CAR,W 33-31,-10,did not cover,51.5,over
4852,KAN,11/1/20,49,52,Sun,8,8,,NYJ,W 35-9,-20,covered,49,under
4853,KAN,10/25/20,46,14,Sun,7,7,@,DEN,W 43-16,-7,covered,46,over
4854,KAN,10/19/20,55,51,Mon,6,6,@,BUF,W 26-17,-5.5,covered,55,under
4855,KAN,10/11/20,54.5,80,Sun,5,5,,LVR,L 32-40,-11,did not cover,54.5,over
4856,KAN,10/5/20,48.5,73,Mon,4,4,,NWE,W 26-10,-11,covered,48.5,under
4857,KAN,9/28/20,55,73,Mon,3,3,@,BAL,W 34-20,3.5,covered,55,under
4858,KAN,9/20/20,47,75,Sun,2,2,@,LAC,W 23-20 (OT),-8.5,did not cover,47,under
4859,KAN,9/10/20,53.5,56,Thu,1,1,,HOU,W 34-20,-9.5,covered,53.5,over
4860,KAN,12/29/19,46,40,Sun,16,17,,LAC,W 31-21,-10,push,46,over
4861,KAN,12/22/19,45.5,45,Sun,15,16,@,CHI,W 26-3,-6.5,covered,45.5,under
4862,KAN,12/15/19,43,24,Sun,14,15,,DEN,W 23-3,-10,covered,43,under
4863,KAN,12/8/19,49.5,32,Sun,13,14,@,NWE,W 23-16,3,covered,49.5,under
4864,KAN,12/1/19,49.5,36,Sun,12,13,,OAK,W 40-9,-11.5,covered,49.5,under
4865,KAN,11/18/19,52.5,67,Mon,11,11,@,LAC,W 24-17,-5.5,covered,52.5,under
4866,KAN,11/10/19,49,63,Sun,10,10,@,TEN,L 32-35,-5,did not cover,49,over
4867,KAN,11/3/19,46,54,Sun,9,9,,MIN,W 26-23,5.5,covered,46,over
4868,KAN,10/27/19,48,54,Sun,8,8,,GNB,L 24-31,5,did not cover,48,over
4869,KAN,10/17/19,49.5,75,Thu,7,7,@,DEN,W 30-6,-3,covered,49.5,under
4870,KAN,10/13/19,54.5,56,Sun,6,6,,HOU,L 24-31,-3.5,did not cover,54.5,over
4871,KAN,10/6/19,55.5,59,Sun,5,5,,IND,L 13-19,-10.5,did not cover,55.5,under
4872,KAN,9/29/19,54.5,68,Sun,4,4,@,DET,W 34-30,-7.5,did not cover,54.5,over
4873,KAN,9/15/19,53.5,70,Sun,2,2,@,OAK,W 28-10,-7,covered,53.5,under
4874,KAN,9/8/19,49,91,Sun,1,1,@,JAX,W 40-26,-3.5,covered,49,over
4875,KAN,12/30/18,52.5,45,Sun,16,17,,OAK,W 35-3,-14.5,covered,52.5,under
4876,KAN,12/23/18,54.5,43,Sun,15,16,@,SEA,L 31-38,-1,did not cover,54.5,over
4877,KAN,12/13/18,54,39,Thu,14,15,,LAC,L 28-29,-3.5,did not cover,54,over
4878,KAN,12/9/18,48.5,27,Sun,13,14,,BAL,W 27-24 (OT),-6.5,did not cover,48.5,over
4879,KAN,12/2/18,53.5,57,Sun,12,13,@,OAK,W 40-33,-14,did not cover,53.5,over
4880,KAN,11/19/18,63.5,65,Mon,11,11,@,LAR,L 51-54,3,push,63.5,over
4881,KAN,11/11/18,49.5,43,Sun,10,10,,ARI,W 26-14,-16.5,did not cover,49.5,under
4882,KAN,11/4/18,51.5,53,Sun,9,9,@,CLE,W 37-21,-7.5,covered,51.5,over
4883,KAN,10/28/18,53,56,Sun,8,8,,DEN,W 30-23,-8.5,did not cover,53,push
4884,KAN,10/21/18,56,59,Sun,7,7,,CIN,W 45-10,-6.5,covered,56,under
4885,KAN,10/14/18,59.5,45,Sun,6,6,@,NWE,L 40-43,3.5,covered,59.5,over
4886,KAN,10/7/18,48,58,Sun,5,5,,JAX,W 30-14,-3,covered,48,under
4887,KAN,10/1/18,53.5,65,Mon,4,4,@,DEN,W 27-23,-3.5,covered,53.5,under
4888,KAN,9/23/18,53,70,Sun,3,3,,SFO,W 38-27,-5.5,covered,53,over
4889,KAN,9/16/18,52,80,Sun,2,2,@,PIT,W 42-37,4.5,covered,52,over
4890,KAN,9/9/18,48,84,Sun,1,1,@,LAC,W 38-28,3.5,covered,48,over
4891,KAN,12/31/17,37.5,17,Sun,16,17,@,DEN,W 27-24,3,covered,37.5,over
4892,KAN,12/24/17,43.5,23,Sun,15,16,,MIA,W 29-13,-11,covered,43.5,under
4893,KAN,12/16/17,47,53,Sat,14,15,,LAC,W 30-13,-1,covered,47,under
4894,KAN,12/10/17,48.5,46,Sun,13,14,,OAK,W 26-15,-4.5,covered,48.5,under
4895,KAN,12/3/17,44,48,Sun,12,13,@,NYJ,L 31-38,-4,did not cover,44,over
4896,KAN,11/26/17,47,62,Sun,11,12,,BUF,L 10-16,-8.5,did not cover,47,under
4897,KAN,11/19/17,44.5,50,Sun,10,11,@,NYG,L 9-12 (OT),-10,did not cover,44.5,under
4898,KAN,10/30/17,42,44,Mon,8,8,,DEN,W 29-19,-7,covered,42,over
4899,KAN,10/19/17,46.5,62,Thu,7,7,@,OAK,L 30-31,-3,did not cover,46.5,over
4900,KAN,10/15/17,46,60,Sun,6,6,,PIT,L 13-19,-3.5,did not cover,46,under
4901,KAN,10/2/17,48,82,Mon,4,4,,WAS,W 29-20,-6.5,covered,48,over
4902,KAN,9/24/17,47.5,84,Sun,3,3,@,LAC,W 24-10,-3,covered,47.5,under
4903,KAN,9/17/17,46.5,68,Sun,2,2,,PHI,W 27-20,-4,covered,46.5,over
4904,KAN,9/7/17,47.5,63,Thu,1,1,@,NWE,W 42-27,8,covered,47.5,over
4905,KAN,1/1/17,45,59,Sun,16,17,@,SDG,W 37-27,-5.5,covered,45,over
4906,KAN,12/25/16,38,53,Sun,15,16,,DEN,W 33-10,-3.5,covered,38,over
4907,KAN,12/18/16,43,1,Sun,14,15,,TEN,L 17-19,-6,did not cover,43,under
4908,KAN,12/8/16,46,21,Thu,13,14,,OAK,W 21-13,-3.5,covered,46,under
4909,KAN,11/27/16,40,44,Sun,11,12,@,DEN,W 30-27 (OT),3.5,covered,40,over
4910,KAN,11/20/16,45,46,Sun,10,11,,TAM,L 17-19,-7,did not cover,45,under
4911,KAN,11/13/16,44,45,Sun,9,10,@,CAR,W 20-17,3,covered,44,under
4912,KAN,11/6/16,42.5,62,Sun,8,9,,JAX,W 19-14,-7,did not cover,42.5,under
4913,KAN,10/30/16,50.5,68,Sun,7,8,@,IND,W 30-14,-3,covered,50.5,under
4914,KAN,10/23/16,51.5,68,Sun,6,7,,NOR,W 27-21,-7,did not cover,51.5,under
4915,KAN,10/16/16,46.5,61,Sun,5,6,@,OAK,W 26-10,-1,covered,46.5,under
4916,KAN,10/2/16,48,59,Sun,4,4,@,PIT,L 14-43,3,did not cover,48,over
4917,KAN,9/25/16,44.5,65,Sun,3,3,,NYJ,W 24-3,-3,covered,44.5,under
4918,KAN,9/18/16,41.5,91,Sun,2,2,@,HOU,L 12-19,-1,did not cover,41.5,under
4919,KAN,9/11/16,45.5,74,Sun,1,1,,SDG,W 33-27 (OT),-6.5,did not cover,45.5,over
4920,KAN,1/3/16,43,37,Sun,16,17,,OAK,W 23-17,-7,did not cover,43,under
4921,KAN,12/27/15,42.5,36,Sun,15,16,,CLE,W 17-13,-10.5,did not cover,42.5,under
4922,KAN,12/20/15,41,41,Sun,14,15,@,BAL,W 34-14,-6.5,covered,41,over
4923,KAN,12/13/15,44,61,Sun,13,14,,SDG,W 10-3,-10.5,did not cover,44,under
4924,KAN,12/6/15,44.5,57,Sun,12,13,@,OAK,W 34-20,-3,covered,44.5,over
4925,KAN,11/29/15,41.5,35,Sun,11,12,,BUF,W 30-22,-5.5,covered,41.5,over
4926,KAN,11/22/15,45,87,Sun,10,11,@,SDG,W 33-3,-3,covered,45,under
4927,KAN,11/15/15,42,64,Sun,9,10,@,DEN,W 29-13,4.5,covered,42,push
4928,KAN,11/1/15,45,50,Sun,8,8,,DET,W 45-10,-3.5,covered,45,over
4929,KAN,10/25/15,43,58,Sun,7,7,,PIT,W 23-13,-3,covered,43,under
4930,KAN,10/18/15,43,54,Sun,6,6,@,MIN,L 10-16,3.5,did not cover,43,under
4931,KAN,10/11/15,45,72,Sun,5,5,,CHI,L 17-18,-9,did not cover,45,under
4932,KAN,10/4/15,45,68,Sun,4,4,@,CIN,L 21-36,3.5,did not cover,45,over
4933,KAN,9/28/15,49,67,Mon,3,3,@,GNB,L 28-38,6,did not cover,49,over
4934,KAN,9/17/15,42,87,Thu,2,2,,DEN,L 24-31,-3,did not cover,42,over
4935,KAN,9/13/15,41,80,Sun,1,1,@,HOU,W 27-20,1,covered,41,over
4936,KAN,12/28/14,42.5,31,Sun,16,17,,SDG,W 19-7,-2.5,covered,42.5,under
4937,KAN,12/21/14,49.5,36,Sun,15,16,@,PIT,L 12-20,2.5,did not cover,49.5,under
4938,KAN,12/14/14,41.5,58,Sun,14,15,,OAK,W 31-13,-10,covered,41.5,over
4939,KAN,11/30/14,49.5,27,Sun,12,13,,DEN,L 16-29,0,did not cover,49.5,under
4940,KAN,11/20/14,42.5,57,Thu,11,12,@,OAK,L 20-24,-7,did not cover,42.5,over
4941,KAN,11/16/14,42.5,21,Sun,10,11,,SEA,W 24-20,0,covered,42.5,over
4942,KAN,11/9/14,42,42,Sun,9,10,@,BUF,W 17-13,1.5,covered,42,under
4943,KAN,11/2/14,41.5,57,Sun,8,9,,NYJ,W 24-10,-8.5,covered,41.5,under
4944,KAN,10/26/14,44,70,Sun,7,8,,STL,W 34-7,-7,covered,44,under
4945,KAN,10/19/14,46,75,Sun,6,7,@,SDG,W 23-20,3,covered,46,under
4946,KAN,10/5/14,44,85,Sun,5,5,@,SFO,L 17-22,5,push,44,under
4947,KAN,9/29/14,46,82,Mon,4,4,,NWE,W 41-14,3,covered,46,over
4948,KAN,9/21/14,42.5,88,Sun,3,3,@,MIA,W 34-15,3.5,covered,42.5,over
4949,KAN,9/14/14,50.5,85,Sun,2,2,@,DEN,L 17-24,11.5,covered,50.5,under
4950,KAN,9/7/14,43,69,Sun,1,1,,TEN,L 10-26,-3.5,did not cover,43,under
4951,KAN,12/29/13,45,73,Sun,16,17,@,SDG,L 24-27 (OT),14.5,covered,45,over
4952,KAN,12/22/13,46.5,22,Sun,15,16,,IND,L 7-23,-7,did not cover,46.5,under
4953,KAN,12/15/13,44,64,Sun,14,15,@,OAK,W 56-31,-6,covered,44,over
4954,KAN,12/8/13,44,30,Sun,13,14,@,WAS,W 45-10,-3,covered,44,over
4955,KAN,12/1/13,49.5,55,Sun,12,13,,DEN,L 28-35,6,did not cover,49.5,over
4956,KAN,11/24/13,43,24,Sun,11,12,,SDG,L 38-41,-3,did not cover,43,over
4957,KAN,11/17/13,49,43,Sun,10,11,@,DEN,L 17-27,7.5,did not cover,49,under
4958,KAN,11/3/13,40.5,36,Sun,9,9,@,BUF,W 23-13,-4.5,covered,40.5,under
4959,KAN,10/27/13,39,52,Sun,8,8,,CLE,W 23-17,-7,did not cover,39,over
4960,KAN,10/20/13,38.5,70,Sun,7,7,,HOU,W 17-16,-6,did not cover,38.5,under
4961,KAN,10/13/13,41,63,Sun,6,6,,OAK,W 24-7,-7.5,covered,41,under
4962,KAN,10/6/13,38,74,Sun,5,5,@,TEN,W 26-17,-3,covered,38,over
4963,KAN,9/29/13,43.5,66,Sun,4,4,,NYG,W 31-7,-4.5,covered,43.5,under
4964,KAN,9/19/13,50,73,Thu,3,3,@,PHI,W 26-16,3.5,covered,50,under
4965,KAN,9/15/13,45,72,Sun,2,2,,DAL,W 17-16,-3,did not cover,45,under
4966,KAN,9/8/13,42.5,85,Sun,1,1,@,JAX,W 28-2,-4.5,covered,42.5,under
4967,KAN,12/30/12,41.5,35,Sun,16,17,@,DEN,L 3-38,17,did not cover,41.5,under
4968,KAN,12/23/12,41.5,25,Sun,15,16,,IND,L 13-20,6,did not cover,41.5,under
4969,KAN,12/16/12,44,54,Sun,14,15,@,OAK,L 0-15,4.5,did not cover,44,under
4970,KAN,12/9/12,38,44,Sun,13,14,@,CLE,L 7-30,7,did not cover,38,under
4971,KAN,12/2/12,41,61,Sun,12,13,,CAR,W 27-21,6,covered,41,over
4972,KAN,11/25/12,42.5,52,Sun,11,12,,DEN,L 9-17,10.5,covered,42.5,under
4973,KAN,11/18/12,42.5,59,Sun,10,11,,CIN,L 6-28,3,did not cover,42.5,under
4974,KAN,11/12/12,40,45,Mon,9,10,@,PIT,L 13-16 (OT),13,covered,40,under
4975,KAN,11/1/12,41,63,Thu,8,9,@,SDG,L 13-31,7,did not cover,41,over
4976,KAN,10/28/12,42.5,50,Sun,7,8,,OAK,L 16-26,-1,did not cover,42.5,under
4977,KAN,10/14/12,39.5,85,Sun,6,6,@,TAM,L 10-38,5,did not cover,39.5,over
4978,KAN,10/7/12,47,47,Sun,5,5,,BAL,L 6-9,6.5,covered,47,under
4979,KAN,9/30/12,43.5,67,Sun,4,4,,SDG,L 20-37,2.5,did not cover,43.5,over
4980,KAN,9/16/12,45,66,Sun,2,2,@,BUF,L 17-35,3,did not cover,45,over
