,,,,,,,,,,,Vegas,,,
Rk,Team,Date,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result
105,ARI,9/17/17,44,78,Sun,2,2,@,IND,W 16-13 (OT),-7,did not cover,44,under
106,ARI,1/1/17,39,59,Sun,16,17,@,LAR,W 44-6,-7,covered,39,over
107,ARI,12/24/16,43.5,39,Sat,15,16,@,SEA,W 34-31,9,covered,43.5,over
108,ARI,12/18/16,48.5,62,Sun,14,15,,NOR,L 41-48,-3,did not cover,48.5,over
109,ARI,12/11/16,44,77,Sun,13,14,@,MIA,L 23-26,-2,did not cover,44,over
110,ARI,12/4/16,48.5,68,Sun,12,13,,WAS,W 31-23,-2.5,covered,48.5,over
111,ARI,10/30/16,45.5,85,Sun,8,8,@,CAR,L 20-30,2.5,did not cover,45.5,over
112,ARI,10/6/16,42.5,75,Thu,5,5,@,SFO,W 33-21,-3.5,covered,42.5,over
113,ARI,9/25/16,48,64,Sun,3,3,@,BUF,L 18-33,-5,did not cover,48,over
114,ARI,12/20/15,51.5,37,Sun,14,15,@,PHI,W 40-17,-3.5,covered,51.5,over
115,ARI,11/29/15,45,54,Sun,11,12,@,SFO,W 19-13,-9.5,did not cover,45,under
116,ARI,11/22/15,48.5,72,Sun,10,11,,CIN,W 34-31,-4.5,did not cover,48.5,over
117,ARI,11/15/15,44.5,49,Sun,9,10,@,SEA,W 39-32,3,covered,44.5,over
118,ARI,11/1/15,46,58,Sun,8,8,@,CLE,W 34-20,-6,covered,46,over
119,ARI,10/18/15,45,45,Sun,6,6,@,PIT,L 13-25,-3.5,did not cover,45,under
120,ARI,9/20/15,46,70,Sun,2,2,@,CHI,W 48-23,-2,covered,46,over
121,ARI,12/28/14,37.5,51,Sun,16,17,@,SFO,L 17-20,6.5,covered,37.5,under
122,ARI,11/23/14,41.5,51,Sun,11,12,@,SEA,L 3-19,7,did not cover,41.5,under
123,ARI,10/19/14,46.5,69,Sun,6,7,@,OAK,W 24-13,-3.5,covered,46.5,under
124,ARI,10/5/14,48,71,Sun,4,5,@,DEN,L 20-41,7.5,did not cover,48,over
125,ARI,9/14/14,42.5,66,Sun,2,2,@,NYG,W 25-14,-2,covered,42.5,under
126,ARI,12/22/13,42.5,48,Sun,15,16,@,SEA,W 17-10,9,covered,42.5,under
127,ARI,12/15/13,43,37,Sun,14,15,@,TEN,W 37-34 (OT),-3,push,43,over
128,ARI,12/1/13,48,46,Sun,12,13,@,PHI,L 21-24,3.5,covered,48,under
129,ARI,11/17/13,40.5,76,Sun,10,11,@,JAX,W 27-14,-9,covered,40.5,over
130,ARI,10/13/13,40.5,65,Sun,6,6,@,SFO,L 20-32,10.5,did not cover,40.5,over
131,ARI,9/29/13,40,84,Sun,4,4,@,TAM,W 13-10,2.5,covered,40,under
132,ARI,12/30/12,39.5,50,Sun,16,17,@,SFO,L 13-27,16.5,covered,39.5,over
133,ARI,12/9/12,36,48,Sun,13,14,@,SEA,L 0-58,10,did not cover,36,over
134,ARI,12/2/12,36.5,46,Sun,12,13,@,NYJ,L 6-7,6,covered,36.5,under
135,ARI,11/4/12,43.5,39,Sun,9,9,@,GNB,L 17-31,10.5,did not cover,43.5,over
136,ARI,9/16/12,47,64,Sun,2,2,@,NWE,W 20-18,13.5,covered,47,under
137,ARI,12/24/11,41,38,Sat,15,16,@,CIN,L 16-23,4,did not cover,41,under
138,ARI,11/20/11,40.5,55,Sun,10,11,@,SFO,L 7-23,10,did not cover,40.5,under
139,ARI,11/13/11,47.5,60,Sun,9,10,@,PHI,W 21-17,13,covered,47.5,under
140,ARI,10/30/11,43,48,Sun,7,8,@,BAL,L 27-30,11.5,covered,43,over
141,ARI,9/25/11,43,68,Sun,3,3,@,SEA,L 10-13,-3,did not cover,43,under
142,ARI,9/18/11,45,66,Sun,2,2,@,WAS,L 21-22,4.5,covered,45,under
143,ARI,1/2/11,39,49,Sun,16,17,@,SFO,L 7-38,6,did not cover,39,over
144,ARI,12/19/10,37.5,42,Sun,14,15,@,CAR,L 12-19,2.5,did not cover,37.5,under
145,ARI,11/21/10,45,66,Sun,10,11,@,KAN,L 13-31,7,did not cover,45,under
146,ARI,10/24/10,40.5,52,Sun,6,7,@,SEA,L 10-22,6.5,did not cover,40.5,under
147,ARI,10/3/10,46.5,72,Sun,4,4,@,SDG,L 10-41,9.5,did not cover,46.5,over
148,ARI,12/27/09,43.5,58,Sun,15,16,,STL,W 31-10,-16,covered,43.5,under
149,ARI,12/14/09,45,53,Mon,13,14,@,SFO,L 9-24,-4,did not cover,45,under
150,ARI,11/29/09,45.5,59,Sun,11,12,@,TEN,L 17-20,2,did not cover,45.5,under
151,ARI,11/8/09,44.5,65,Sun,8,9,@,CHI,W 41-21,3,covered,44.5,over
152,ARI,10/25/09,47,57,Sun,6,7,@,NYG,W 24-17,8,covered,47,under
153,ARI,10/18/09,46,58,Sun,5,6,@,SEA,W 27-3,3,covered,46,under
154,ARI,9/20/09,44,83,Sun,2,2,@,JAX,W 31-17,3,covered,44,over
155,ARI,12/21/08,41,30,Sun,15,16,@,NWE,L 7-47,8,did not cover,41,over
156,ARI,12/14/08,46.5,54,Sun,14,15,,MIN,L 14-35,-3.5,did not cover,46.5,over
157,ARI,12/7/08,48.5,63,Sun,13,14,,STL,W 34-10,-14.5,covered,48.5,under
158,ARI,11/27/08,49,41,Thu,12,13,@,PHI,L 20-48,3,did not cover,49,over
159,ARI,11/16/08,48,52,Sun,10,11,@,SEA,W 26-20,-3,covered,48,under
160,ARI,11/10/08,47.5,62,Mon,9,10,,SFO,W 29-24,-9.5,did not cover,47.5,over
161,ARI,10/26/08,43,70,Sun,7,8,@,CAR,L 23-27,5.5,covered,43,over
162,ARI,9/28/08,43.5,69,Sun,4,4,@,NYJ,L 35-56,1.5,did not cover,43.5,over
163,ARI,9/21/08,43.5,75,Sun,3,3,@,WAS,L 17-24,3,did not cover,43.5,under
164,ARI,9/7/08,42,70,Sun,1,1,@,SFO,W 23-13,-2.5,covered,42,under
165,ARI,12/30/07,49,60,Sun,16,17,,STL,W 48-19,-6,covered,49,over
166,ARI,12/23/07,43.5,58,Sun,15,16,,ATL,W 30-27 (OT),-10.5,did not cover,43.5,over
167,ARI,12/9/07,44.5,35,Sun,13,14,@,SEA,L 21-42,7.5,did not cover,44.5,over
168,ARI,12/2/07,52,62,Sun,12,13,,CLE,W 27-21,0,covered,52,under
169,ARI,11/25/07,38,65,Sun,11,12,,SFO,L 31-37 (OT),-10.5,did not cover,38,over
170,ARI,11/18/07,49.5,44,Sun,10,11,@,CIN,W 35-27,3.5,covered,49.5,over
