Season,Team,win_percentage,Date,G#,Week,Game time,Rk,Spread...4,Over/Under...5,Temperature,Day,Location,Opp,Result,Spread...13,vs. Line,Over/Under...15,OU Result,after_bye
2022,KAN,0.824,2022-11-27,11,12,afternoon,182,-15.5,42,44,Sun,home,LAR,W 26-10,-15.5,covered,42,under,0
2022,KAN,0.824,2022-10-23,7,7,afternoon,304,-1,49,64,Sun,away,SFO,W 44-23,-1,covered,49,over,0
2022,KAN,0.824,2022-09-11,1,1,afternoon,475,-6.5,54,0,Sun,away,ARI,W 44-21,-6.5,covered,54,over,0
2022,KAN,0.824,2022-11-20,10,11,night,213,-5,52.5,69,Sun,away,LAC,W 30-27,-5,did not cover,52.5,over,0
2022,KAN,0.824,2022-11-06,8,9,night,25,-12.5,45.5,54,Sun,home,TEN,W 20-17 (OT),-12.5,did not cover,45.5,under,1
2022,KAN,0.824,2022-10-10,5,5,night,341,-7,51.5,77,Mon,home,LVR,W 30-29,-7,did not cover,51.5,over,0
2022,KAN,0.824,2022-10-02,4,4,night,388,1,46,75,Sun,away,TAM,W 41-31,1,covered,46,over,0
2022,PHI,0.824,2023-01-01,16,17,early,53,-5.5,41.5,54,Sun,home,NOR,L 10-20,-5.5,did not cover,41.5,under,0
2022,PHI,0.824,2022-12-18,14,15,early,107,-8.5,48.5,17,Sun,away,CHI,W 25-20,-8.5,did not cover,48.5,under,0
2022,PHI,0.824,2022-12-11,13,14,early,122,-7,45,37,Sun,away,NYG,W 48-22,-7,covered,45,over,0
2022,PHI,0.824,2022-12-04,12,13,early,163,-4,44,60,Sun,home,TEN,W 35-10,-4,covered,44,over,0
2022,PHI,0.824,2022-11-20,10,11,early,217,-6.5,45.5,27,Sun,away,IND,W 17-16,-6.5,did not cover,45.5,under,0
2022,PHI,0.824,2022-10-30,7,8,early,27,-10.5,43,61,Sun,home,PIT,W 35-13,-10.5,covered,43,over,1
2022,PHI,0.824,2022-10-02,4,4,early,395,-6.5,45.5,57,Sun,home,JAX,W 29-21,-6.5,covered,45.5,over,0
2022,PHI,0.824,2022-09-25,3,3,early,426,-6,47.5,72,Sun,away,WAS,W 24-8,-6,covered,47.5,under,0
2022,PHI,0.824,2022-09-11,1,1,early,483,-6,48.5,68,Sun,away,DET,W 38-35,-6,did not cover,48.5,over,0
2022,PHI,0.824,2023-01-08,17,18,afternoon,19,-16,42,43,Sun,home,NYG,W 22-16,-16,did not cover,42,under,0
2022,PHI,0.824,2022-12-24,15,16,afternoon,86,4.5,47,35,Sat,away,DAL,L 34-40,4.5,did not cover,47,over,0
2022,PHI,0.824,2022-10-09,5,5,afternoon,362,-5,49,0,Sun,away,ARI,W 20-17,-5,did not cover,49,under,0
2022,PHI,0.824,2022-11-27,11,12,night,188,-6.5,46,62,Sun,home,GNB,W 40-33,-6.5,covered,46,over,0
2022,PHI,0.824,2022-11-14,9,10,night,225,-10.5,43.5,43,Mon,home,WAS,L 21-32,-10.5,did not cover,43.5,over,0
2022,PHI,0.824,2022-11-03,8,9,night,270,-13.5,45.5,77,Thu,away,HOU,W 29-17,-13.5,did not cover,45.5,over,0
2022,PHI,0.824,2022-10-16,6,6,night,332,-6.5,42,63,Sun,home,DAL,W 26-17,-6.5,covered,42,over,0
2022,PHI,0.824,2022-09-19,2,2,night,440,-2.5,50.5,76,Mon,home,MIN,W 24-7,-2.5,covered,50.5,under,0
2022,BUF,0.813,2023-01-08,16,18,early,1,-7.5,43.5,30,Sun,home,NWE,W 35-23,-7.5,covered,43.5,over,1
2022,BUF,0.813,2022-12-24,15,16,early,72,-8,40,7,Sat,away,CHI,W 35-13,-8,covered,40,over,0
2022,BUF,0.813,2022-12-11,13,14,early,120,-10,43,36,Sun,home,NYJ,W 20-12,-10,did not cover,43,under,0
2022,BUF,0.813,2022-11-24,11,12,early,196,-9.5,54.5,44,Thu,away,DET,W 28-25,-9.5,did not cover,54.5,under,0
2022,BUF,0.813,2022-11-20,10,11,early,204,-7.5,50,24,Sun,home,CLE,W 31-23,-7.5,covered,50,over,0
2022,BUF,0.813,2022-11-13,9,10,early,227,-6.5,44.5,38,Sun,home,MIN,L 30-33 (OT),-6.5,did not cover,44.5,over,0
2022,BUF,0.813,2022-11-06,8,9,early,250,-11,46,69,Sun,away,NYJ,L 17-20,-11,did not cover,46,under,0
2022,BUF,0.813,2022-10-09,5,5,early,344,-14,45.5,55,Sun,home,PIT,W 38-3,-14,covered,45.5,under,0
2022,BUF,0.813,2022-10-02,4,4,early,376,-3,51,58,Sun,away,BAL,W 23-20,-3,push,51,under,0
2022,BUF,0.813,2022-09-25,3,3,early,408,-4.5,53,89,Sun,away,MIA,L 19-21,-4.5,did not cover,53,under,0
2022,BUF,0.813,2022-12-17,14,15,night,112,-7,43.5,29,Sat,home,MIA,W 32-29,-7,did not cover,43.5,over,0
2022,BUF,0.813,2022-12-01,12,13,night,171,-3.5,43.5,35,Thu,away,NWE,W 24-10,-3.5,covered,43.5,under,0
2022,BUF,0.813,2022-10-30,7,8,night,28,-10.5,47,50,Sun,home,GNB,W 27-17,-10.5,did not cover,47,under,1
2022,BUF,0.813,2022-09-19,2,2,night,437,-10,47.5,70,Mon,home,TEN,W 41-7,-10,covered,47.5,over,0
2022,BUF,0.813,2022-09-08,1,1,night,491,-2.5,52,88,Thu,away,LAR,W 31-10,-2.5,covered,52,under,0
2023,BAL,0.765,2023-12-31,16,17,early,34,-3.5,46.5,50,Sun,home,MIA,W 56-19,-3.5,covered,46.5,over,0
2023,BAL,0.765,2023-12-10,13,14,early,5,-7.5,39.5,57,Sun,home,LAR,W 37-31 (OT),-7.5,did not cover,39.5,over,1
2023,BAL,0.765,2023-11-12,10,10,early,233,-6,38.5,49,Sun,home,CLE,L 31-33,-6,did not cover,38.5,over,0
2023,BAL,0.765,2023-11-05,9,9,early,259,-6.5,44.5,70,Sun,home,SEA,W 37-3,-6.5,covered,44.5,under,0
2023,BAL,0.765,2023-10-22,7,7,early,312,-3,43.5,62,Sun,home,DET,W 38-6,-3,covered,43.5,over,0
2023,BAL,0.765,2023-10-15,6,6,early,335,-5,42.5,52,Sun,away,TEN,W 24-16,-5,covered,42.5,under,0
2023,BAL,0.765,2023-10-08,5,5,early,357,-4.5,38.5,53,Sun,away,PIT,L 10-17,-4.5,did not cover,38.5,under,0
2023,BAL,0.765,2023-10-01,4,4,early,385,-2.5,41,71,Sun,away,CLE,W 28-3,-2.5,covered,41,under,0
2023,BAL,0.765,2023-10-01,4,4,early,405,-2.5,41,71,Sun,away,CLE,W 28-3,-2.5,covered,41,under,0
2023,BAL,0.765,2023-09-24,3,3,early,435,-7.5,44.5,68,Sun,home,IND,L 19-22 (OT),-7.5,did not cover,44.5,under,0
2023,BAL,0.765,2023-09-17,2,2,early,465,3.5,45.5,72,Sun,away,CIN,W 27-24,3.5,covered,45.5,over,0
2023,BAL,0.765,2023-09-10,1,1,early,497,-9.5,43.5,78,Sun,home,HOU,W 25-9,-9.5,covered,43.5,under,0
2023,BAL,0.765,2024-01-06,17,18,afternoon,32,3,34.5,38,Sat,home,PIT,L 10-17,3,did not cover,34.5,under,0
2023,BAL,0.765,2023-10-29,8,8,afternoon,286,-9.5,44.5,75,Sun,away,ARI,W 31-24,-9.5,did not cover,44.5,over,0
2023,BAL,0.765,2023-12-25,15,16,night,68,6,46.5,56,Mon,away,SFO,W 33-19,6,covered,46.5,over,0
2023,BAL,0.765,2023-12-17,14,15,night,108,-3,42,58,Sun,away,JAX,W 23-7,-3,covered,42,under,0
2023,BAL,0.765,2023-11-26,12,12,night,191,-3,48,64,Sun,away,LAC,W 20-10,-3,covered,48,under,0
2023,BAL,0.765,2023-11-16,11,11,night,227,-4,46,56,Thu,home,CIN,W 34-20,-4,covered,46,over,0
2022,MIN,0.765,2023-01-08,17,18,early,13,-7,42.5,32,Sun,away,CHI,W 29-13,-7,covered,42.5,under,0
2022,MIN,0.765,2022-12-24,15,16,early,88,-4,49.5,2,Sat,home,NYG,W 27-24,-4,did not cover,49.5,over,0
2022,MIN,0.765,2022-12-17,14,15,early,114,-3.5,47.5,19,Sat,home,IND,W 39-36 (OT),-3.5,did not cover,47.5,over,0
2022,MIN,0.765,2022-12-11,13,14,early,133,2,51.5,40,Sun,away,DET,L 23-34,2,did not cover,51.5,over,0
2022,MIN,0.765,2022-12-04,12,13,early,165,-3,44.5,37,Sun,home,NYJ,W 27-22,-3,covered,44.5,over,0
2022,MIN,0.765,2022-11-13,9,10,early,237,6.5,44.5,38,Sun,away,BUF,W 33-30 (OT),6.5,covered,44.5,over,0
